SampleID,Sample_Name,seqrun,psyllid_spp,psyllid_genus,psyllid_family,hostplant_spp,Collection_Date,replicated,lat,long
117a_S97,117A,2,Calophya_schini,Calophya,Calophyidae,Schinus_molle,11/3/15,FALSE,-43.53111111111111,172.62555555555556
117b_S98,117B,2,Calophya_schini,Calophya,Calophyidae,Schinus_molle,11/3/15,FALSE,-43.53111111111111,172.62555555555556
150b_S121,150B,2,Casuarinicola_australis,Casuarinicola,Triozidae,Casuarina_sp,31/3/15,FALSE,-35.756388888888885,174.37722222222223
SA3A_S174,SA3A,2,Casuarinicola_australis,Casuarinicola,Triozidae,Casuarina_sp,6/11/14,FALSE,-34.95916666666667,138.67916666666665
125_S105,125,2,Casuarinicola_sp,Casuarinicola,Triozidae,Casuarina_sp,23/3/15,FALSE,-36.90277777777778,174.77972222222223
147_S119,147,2,Casuarinicola_sp,Casuarinicola,Triozidae,Casuarina_sp,29/3/15,FALSE,-37.22222222222222,175.6288888888889
SA8A_S177,SA8A,2,Casuarinicola_sp,Casuarinicola,Triozidae,Casuarina_sp,6/11/14,FALSE,-34.95916666666667,138.67916666666665
SA6A_S176,SA6A,2,Cryptoneossa_sp,Cryptoneossa,Aphalaridae,Eucalyptus_sp,6/11/14,FALSE,-34.95916666666667,138.67916666666665
44_S42,44,2,Ctenarytaina_clavata_sp_B,Ctenarytaina,Aphalaridae,Kunzea_ericoides,23/10/14,FALSE,-42.51833333333333,172.8213888888889
152_S123,152,2,Ctenarytaina_clavata_sp_A,Ctenarytaina,Aphalaridae,Kunzea_ericoides,4/4/15,FALSE,-43.22027777777778,171.7188888888889
34a_S35,34A,2,Ctenarytaina_clavata_sp_A,Ctenarytaina,Aphalaridae,Kunzea_ericoides,14/9/14,FALSE,-43.630833333333335,171.30055555555558
2_S1,2,2,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,1/9/14,FALSE,-43.45805555555556,172.20638888888888
43_S41,43,2,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,23/10/14,FALSE,-43.14944444444444,172.72944444444445
78_S68,78,2,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,23/2/15,FALSE,-44.12777777777778,171.30833333333334
82_S72,82,2,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,24/2/15,FALSE,-45.878055555555555,170.48916666666665
89_S76,89,2,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,26/2/15,FALSE,-46.43722222222222,168.3763888888889
99_S82,99,2,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,27/2/15,FALSE,-46.157222222222224,167.68555555555557
105_S86,105,2,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,2/3/15,FALSE,-45.42472222222222,167.7188888888889
115_S94,115,2,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,2/3/15,FALSE,-45.636944444444445,168.17499999999998
165_S132,165,2,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,27/2/15,FALSE,-43.640277777777776,172.4752777777778
39A_S49,39A,1,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,23/10/14,FALSE,-43.16,172.73083333333332
39B_S50,39B,1,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,23/10/14,FALSE,-43.16,172.73083333333332
39C_S51,39C,1,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,23/10/14,FALSE,-43.16,172.73083333333332
42A_S52,42A,1,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,23/10/14,FALSE,-42.77333333333333,172.84833333333333
42B_S53,42B,1,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,23/10/14,FALSE,-42.77333333333333,172.84833333333333
42C_S54,42C,1,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,23/10/14,FALSE,-42.77333333333333,172.84833333333333
SA2A_S55,SA2A,1,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,4/11/14,FALSE,-34.95916666666667,138.67916666666665
SA2B_S56,SA2B,1,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,4/11/14,FALSE,-34.95916666666667,138.67916666666665
SA2C_S57,SA2C,1,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,4/11/14,FALSE,-34.95916666666667,138.67916666666665
SI10_S179,SI10,2,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,14/10/14,FALSE,-46.900277777777774,168.12083333333334
SI15_S181,SI15,2,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,14/10/14,FALSE,-46.900277777777774,168.12083333333334
VIC1A_S58,VIC1A,1,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,12/11/14,FALSE,-37.828611111111115,144.97583333333333
VIC1B_S59,VIC1B,1,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,12/11/14,FALSE,-37.828611111111115,144.97583333333333
VIC1C_S60,VIC1C,1,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,12/11/14,TRUE,-37.828611111111115,144.97583333333333
VIC1C_S188,VIC1C,2,Ctenarytaina_eucalypti,Ctenarytaina,Aphalaridae,Eucalyptus_globulus,12/11/14,TRUE,-37.828611111111115,144.97583333333333
56_S53,56,2,Ctenarytaina_fuchsia_A,Ctenarytaina,Aphalaridae,Fuchsia_excorticata,30/11/14,FALSE,-43.63972222222222,172.4752777777778
