SampleID,Sample Name,seqrun,f_primer,r_primer,Cycles,Annealing temperature,Taq,Project Description/ Owner,psyllid_family,psyllid_genus,psyllid_spp,hostplant_spp,Collection,Collection Date
91_S167,blank,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,,,blank,,,
137_S115,137,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Blastopsylla,Blastopsylla occidentalis,Eucalyptus sp.,"36°46'54.53""S 175°00'33.32""E",26/03/2015
142_S116,142,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Blastopsylla,Blastopsylla occidentalis,Eucalyptus sp.,"37°47'58.62""S 175°16'19.41""E",28/03/2015
117a_S97,117A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Calophyidae,Calophya,Calophya schini,Schinus molle,"43°31'52.23""S 172°37'32.10""E",11/03/2015
117b_S98,117B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Calophyidae,Calophya,Calophya schini,Schinus molle,"43°31'52.23""S 172°37'32.10""E",11/03/2015
150b_S121,150B,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Triozidae,Casuarinicola,Casuarinicola australis,Casuarina sp.,"35°45'23.84""S 174°22'38.88""E",31/03/2015
SA3A_S174,SA3A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Triozidae,Casuarinicola,Casuarinicola australis,Casuarina sp.,"34°57'33.20""S 138°40'45.30""E",6/11/2014
125_S105,125,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Triozidae,Casuarinicola,Casuarinicola sp.,Casuarina sp.,"36°54'10.60""S 174°46'47.00""E",23/03/2015
147_S119,147,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Triozidae,Casuarinicola,Casuarinicola sp.,Casuarina sp.,"37°13'20.84""S 175°37'44.54""E",29/03/2015
SA8A_S177,SA8A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Triozidae,Casuarinicola,Casuarinicola sp.,Casuarina sp.,"34°57'33.20""S 138°40'45.30""E",6/11/2014
SA6A_S176,SA6A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Cryptoneossa,Cryptoneossa sp.,Eucalyptus sp.,"34°57'33.20""S 138°40'45.30""E",6/11/2014
44_S42,44,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina clavata sp. B,Kunzea ericoides,"42°31'06.10""S 172°49'17.10""E",23/10/2014
152_S123,152,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina clavata sp. A,Kunzea ericoides,"43°13'13.20""S 171°43'08.80""E",4/04/2015
34a_S35,34A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina clavata sp. A,Kunzea ericoides,"43°37'51.90""S 171°18'02.48""E",14/09/2014
2_S1,2,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina eucalypti,Eucalyptus globulus,"43°27'29.28''S 172°12'23.28""E",1/09/2014
