SampleID,Sample_Name,seqrun,f_primer,r_primer,Cycles,Annealing_temperature,Taq,Project_Description/_Owner,psyllid_family,psyllid_genus,psyllid_spp,hostplant_spp,Collection_Date,replicated,lat,long,genus_geo
SA6A_S176,SA6A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Cryptoneossa,Cryptoneossa_sp,Eucalyptus_sp,6/11/2014,FALSE,-34.95916667,138.6791667,Cryptoneossa
44_S42,44,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_clavata_sp_B,Kunzea_ericoides,23/10/2014,FALSE,-42.51833333,172.8213889,Ctenarytaina_NZ
152_S123,152,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_clavata_sp_A,Kunzea_ericoides,4/04/2015,FALSE,-43.22027778,171.7188889,Ctenarytaina_NZ
34a_S35,34A,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_clavata_sp_A,Kunzea_ericoides,14/09/2014,FALSE,-43.63083333,171.3005556,Ctenarytaina_NZ
2_S1,2,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,1/09/2014,FALSE,-43.45805556,172.2063889,Ctenarytaina_AUS
43_S41,43,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,23/10/2014,FALSE,-43.14944444,172.7294444,Ctenarytaina_AUS
78_S68,78,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,23/02/2015,FALSE,-44.12777778,171.3083333,Ctenarytaina_AUS
82_S72,82,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,24/02/2015,FALSE,-45.87805556,170.4891667,Ctenarytaina_AUS
89_S76,89,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,26/02/2015,FALSE,-46.43722222,168.3763889,Ctenarytaina_AUS
99_S82,99,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,27/02/2015,FALSE,-46.15722222,167.6855556,Ctenarytaina_AUS
105_S86,105,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,2/03/2015,FALSE,-45.42472222,167.7188889,Ctenarytaina_AUS
115_S94,115,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,2/03/2015,FALSE,-45.63694444,168.175,Ctenarytaina_AUS
165_S132,165,2,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,27/02/2015,FALSE,-43.64027778,172.4752778,Ctenarytaina_AUS
39A_S49,39A,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,23/10/2014,FALSE,-43.16,172.7308333,Ctenarytaina_AUS
39B_S50,39B,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,23/10/2014,FALSE,-43.16,172.7308333,Ctenarytaina_AUS
39C_S51,39C,1,16S_F,16S_R,25,55,KAPA 3G,NZ Psyllids/Martoni F.,Aphalaridae,Ctenarytaina,Ctenarytaina_eucalypti,Eucalyptus_globulus,23/10/2014,FALSE,-43.16,172.7308333,Ctenarytaina_AUS
