OTU,values
SV570_Nitrobacter,-9.060876545135475
SV571_Bradyrhizobium,-8.88534438986961
SV572_Rhodopseudomonas,-8.86875706181681
SV573_f__Xanthobacteraceae,-9.100821155570848
SV577_Methylobacterium_Methylo,-8.700806435953771
SV578_Methylobacterium_Methylo,-8.517834078902705
SV580_Phreatobacter,-9.12612561434988
SV581_1174_901_12,-9.528681041418839
SV584_1174_901_12,-9.369487672804631
SV586_f__Beijerinckiaceae,-11.063525416919074
SV589_f__Rhizobiaceae,-9.112565538985177
SV592_Candidatus_Liberibacter,-8.277781801655305
SV593_Candidatus_Liberibacter,-8.437578250989695
SV594_Caulobacter,-9.494681626888646
SV596_Caulobacter,-9.064638143082144
SV599_Brevundimonas,-9.416679844151389
SV601_Phenylobacterium,-9.061362514939812
SV602_Phenylobacterium,-9.26295873420942
SV603_Amaricoccus,-8.501574753017659
SV604_Paracoccus,-11.372704718714742
SV605_Paracoccus,-9.922539336134014
SV608_f__Rhodobacteraceae,-9.258842309249987
SV609_f__Rhodobacteraceae,-9.530735976578812
SV610_Rhodobacter,-9.072855236912265
SV611_f__Rhodobacteraceae,-8.759867239019687
SV613_Sphingomonas,-10.5352258058439
SV615_f__Sphingomonadaceae,-10.053180815640042
SV616_Sphingomonas,-8.499695849639476
SV619_f__Sphingomonadaceae,-9.058862379163923
SV620_f__Sphingomonadaceae,-9.77013489725246
SV621_Sphingomonas,-7.777477255798148
SV66_Candidatus_Carsonella,-7.517461819305954
SV7_Novosphingobium,-11.289021176360936
SV76_Candidatus_Carsonella,-17.29110575492377
SV8_f__Sphingomonadaceae,-16.62714101806374
SV80_Candidatus_Carsonella,-11.247983117910028
SV82_Candidatus_Carsonella,-15.57542489671622
SV83_Candidatus_Carsonella,-12.618601870509641
SV84_Candidatus_Carsonella,-12.460403108457776
SV85_Candidatus_Carsonella,-9.346425649256439
SV86_Candidatus_Carsonella,-8.380920140771114
SV87_Candidatus_Carsonella,-9.819360801564365
SV88_Candidatus_Carsonella,-10.79950971973582
SV89_Candidatus_Carsonella,-10.044745530293564
SV91_Candidatus_Carsonella,-9.624382440320064
SV92_Candidatus_Carsonella,-9.320463623253268
SV95_Candidatus_Carsonella,-9.48410035019361
SV96_Candidatus_Carsonella,-12.656509276419593
SV97_Candidatus_Carsonella,-12.449804609510894
SV98_Candidatus_Carsonella,-9.535758274163426
SV99_Candidatus_Carsonella,-8.32897270206521
